0 Sweep,,5 Sweep,,10 Sweep,,15 Sweep,,20 Sweep,,25 Sweep,,30 Sweep,,35 Sweep,,40 Sweep,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.6785761628148851,0.18967137350397073,0.6806675232441706,0.18969331388504257,0.6845819805921787,0.18973902301227555,0.6944449239729372,0.18979195783834152,0.7076800163281874,0.1895265669888967,0.8601850847003752,0.07889438947231064,0.8814454241429368,0.0789858077267766,0.7967690507408031,0.18900767697654797,0.8844565451798663,0.11861562103776611
0.6792331346774878,0.18828912949644555,0.6813244951067733,0.18859629483145118,0.6853119493284039,0.1886877130859171,0.6955801713515147,0.18819961274167255,0.7088078180256555,0.18759069403232573,0.8563527488351925,0.08063133630716371,0.8801223558085285,0.07967144463527126,0.7973621503389862,0.18791065792295655,0.8836809533976269,0.11975834921859049
0.6803499868439126,0.18677524320248942,0.682036214624593,0.18722502101446192,0.6860875411106433,0.18754498490509275,0.6967154187300924,0.18626605083857448,0.7098571480839794,0.18599087457917157,0.8539803504424603,0.08172835536075512,0.8778868265538385,0.08058562717993073,0.7980464960291973,0.18658509323320027,0.8829509846614015,0.12108391390834679
0.6808098671477345,0.18545882033817973,0.6826384388319788,0.18585374719747266,0.6868631328928827,0.18608229283363753,0.6977371413708121,0.18501492254833454,0.7110433472803455,0.18425392774431854,0.8523379207859534,0.08255111965094866,0.8761531508053035,0.08149980972459023,0.7986852186733945,0.18535094679790992,0.8823122620172044,0.12213522383470521
0.6815982333828577,0.1840107551874391,0.6835144013154492,0.18453732433316297,0.6878668399051925,0.18452818250771635,0.6986453392736742,0.18330883851618918,0.7118189390625849,0.18301978130902818,0.8502392606693057,0.08360242957730712,0.8744650981027825,0.08259682877818164,0.7992783182715775,0.18425392774431854,0.8814454241429368,0.12355220677892743
0.6821895080592003,0.18289179575277584,0.6842261208332688,0.18327575242153285,0.688688054733446,0.18324832694519305,0.6998941113901096,0.1813752766130911,0.7125945308448242,0.18187705312820382,0.8486880771048269,0.08447090299473364,0.8722295688480926,0.08369384783177305,0.7997801717777324,0.18311119956349414,0.8805785862686694,0.12487777146868373
0.6830435714805838,0.18150955174525069,0.6849378403510885,0.1816850747938253,0.6896461386997416,0.1818770531282038,0.7006887845551139,0.18001040938737484,0.7135069917651058,0.18068861582014648,0.8469087783102778,0.08524795815769423,0.8698571704553604,0.08479086688536444,0.8003732713759155,0.18173992574650488,0.87980299448643,0.12615762703120703
0.6837662405294469,0.180193128880941,0.6858685504897757,0.18025895002415648,0.6905129765740091,0.1804143610567486,0.7014834577201181,0.1785318032261822,0.7144650757314015,0.17886025073082745,0.8454488408378272,0.08593359506618883,0.8678497564307408,0.08597930419342181,0.801240109250183,0.18059719756568052,0.8791186487962188,0.1275289008481963
0.6846860011370908,0.17861342144376935,0.686799260628463,0.17872312334912852,0.6915166835863189,0.17908879636699232,0.7028457545744112,0.17705319706498956,0.7156056518817535,0.1773061404049063,0.8439432803193625,0.08684777761084833,0.8660248345901775,0.08703061411978022,0.8019700779864083,0.17918021462145828,0.8780693187378948,0.12926584768304936
