Max Cruise,,Max Climb,
X,Y,X,Y
0.0064016586440087675,25.481317816753993,0.005217133759277515,27.048302093491998
0.018946696022223875,24.947949180634108,0.029380885810045887,26.432088148801952
0.03705203088037001,24.6602340867398,0.04900716926128518,25.85638391593685
0.054235383028726214,24.104738169802737,0.05912170897854413,25.416526624152397
0.07531219235158781,23.593050062672475,0.08332379958681818,24.995684901080487
0.08052747474794031,23.299262973865314,0.10884642982251408,24.662124540106547
0.10689587176042481,22.983142264523337,0.13230608624885104,23.973405807758876
0.13017084450793065,22.455639682429634,0.1592293647003909,23.49602224745739
0.1558635781798161,22.033741953266876,0.17675022683420838,22.99502276972162
0.18056265035265295,21.49916890824961,0.19682981594065535,22.76577833469939
0.20146271839169794,21.15979173638121,0.22529235731304081,22.431320308666976
0.22559890404114152,20.89905827851433,0.2522040088550718,22.012053408356877
0.2525337286305615,20.36396179210114,0.27909620372068406,21.690039956791853
0.2794183721373293,20.079693517283687,0.3060149365341845,21.23537759339839
0.3062984396947956,19.818297949051455,0.33289254414877095,20.98627795503775
0.3322198966237459,19.472204800761993,0.36026267453993505,20.71346012966488
0.344232640046311,19.1613490605869,0.3866643797612473,20.40500233161992
0.3698658446773912,19.03700495231042,0.40774868199572417,20.16062844003573
0.3970023117415841,18.713075295488444,0.43065743879316115,19.939805968803565
0.42363648816370275,18.461688125676517,0.4575200512687571,19.765658955950798
0.44996983250172157,18.119831424505534,0.4827246631391003,19.439255846605484
0.46682505449536643,17.95415430215428,0.5104886819715937,19.135608899992604
0.48912390969739766,17.83581811916593,0.5381842436405226,18.861560661651616
0.5164949515289365,17.558444494135507,0.5674934635501656,18.648830332637246
0.5438619644155664,17.301209395272984,0.5962040919005995,18.380464428919787
0.5609875725585916,17.03434466805897,0.6214904649638502,18.16114109636856
0.5873448095816918,16.94815944846208,0.6481158726357339,17.953584187345076
0.6142154394736865,16.7339376881026,0.6713496949541424,17.631770442385452
0.6410879458605703,16.510336340212866,0.7000251902742158,17.53901563965462
0.6664007750757779,16.325009629320945,0.7294202273775636,17.332713148663156
0.6936030393529797,16.11549294639537,0.7537573435388902,17.156090705479546
0.7216882454210629,15.925603805644823,0.7765422284651129,16.90136434806788
0.749650235872253,15.674342640058939,0.8074755334739492,16.842960937338432
0.7702454984432252,15.50400278343865,0.827620461800884,16.72250270184925
0.7974056250795389,15.366578911420287,0.8654713715351356,16.48187876029135
0.8270197584268058,15.153586722214154,0.8885365130957761,16.32594874850067
0.8508871464601038,14.88190671665371,0.921624865782086,16.186663897347337
0.878910620186143,14.83126917658597,0.9509252551275451,16.018072803769464
0.9033357059911942,14.650315632787624,0.9790062500327283,15.849232998806936
0.9296365568699387,14.454130784969735,,
0.9586032357086638,14.212051703906468,,
0.9933872734885201,14.06270696648301,,
