Default Dataset,
X,Y
3.0932817786369924,0.0005774783445620102
54.13243112614782,0.0069297401347448995
100.53165780570339,0.011549566891241536
137.37178454433206,0.018554165329911054
180.33403146984642,0.023566998182012466
231.35169969389426,0.029582397604534072
276.9990870522531,0.03559779702705579
301.1653509478549,0.039608063308736896
330.70189570914613,0.0439525184472247
365.60872133612656,0.048631162442519416
408.57096826164025,0.05397818415142752
451.53321518715484,0.05965939471714243
491.810321679824,0.06433803871243704
532.0874281724941,0.06901668270773165
569.6793942323188,0.07436370441663975
615.3267815906779,0.07870815955512767
663.659309381881,0.08539193669126277
701.2512754417062,0.09007058068655749
746.8986628000648,0.0957517912522724
800.6014714569578,0.101767190674794
840.8785779496275,0.10644583467008861
881.1556844422967,0.11079028980857653
929.4882122335002,0.11647150037429144
983.1910208903932,0.12315527751042654
1042.2641104129752,0.12816811036252795
1098.6520595027123,0.13418350978504967
1152.3548681596053,0.14019890920757128
1200.6873959508089,0.14387498663244558
1249.019923742012,0.148887819484547
1300.0375919660605,0.1532322746230348
1351.0552601901086,0.1592476740455565
1402.0729284141566,0.16459469575446461
1458.4608775038937,0.16927333974975933
1517.5339670264761,0.17428617260186063
1571.2367756833692,0.17896481659715535
1627.6247247731062,0.18397764944925665
1702.808656892756,0.18932467115816476
1751.1411846839596,0.19467169286707287
1810.214274206542,0.19901614800556078
1861.2319424305897,0.2040289808576622
1931.04559368455,0.2083734359961501
2000.8592449385114,0.2137204577050582
2057.2471940282485,0.218064912843546
2132.4311261478983,0.22307774569564742
2191.50421567048,0.22775638969094203
2247.892164760218,0.23310341139985014
2312.335535148489,0.23744786653833805
2368.7234842382263,0.24145813282001916
2427.796573760809,0.24546839910170026
2478.8142419848564,0.24947866538338137
2543.257612373128,0.2534889316650625
2615.7564040599336,0.2585017645171639
2680.199774448204,0.2625120307988449
2750.0134257021655,0.2668564859373328
2809.086515224747,0.2712009410758206
2873.5298856130185,0.274877018500695
2943.343536866979,0.2792214736391829
2999.731485956716,0.283231739920864
3064.1748563449883,0.2865736284889316
3112.507384136192,0.2905838947706127
3179.635894957307,0.2939257833386803
3246.7644057784228,0.29893861619078166
3305.837495301005,0.302614693615656
3372.966006122121,0.3056223933269169
3432.0390956447027,0.3096326596085979
3496.482466032974,0.31364292589027903
3560.9258364212455,0.3176531921719602
3625.369206809517,0.32166345845364125
3700.5531389291673,0.32567372473532236
3773.051930615972,0.3296839910170034
3840.180441437088,0.333025879585071
3899.2535309596697,0.3363677681531386
3955.6414800494076,0.3390412790075927
4001.2888674077667,0.34271735643246704
4057.6768164975038,0.3453908672869211
4119.435046452931,0.34806437814137514
4178.508135975513,0.35174045556624955
4251.006927662318,0.3560849107047374
4304.709736319211,0.3597609881296117
4358.412544976104,0.3621003101272591
4422.855915364375,0.3661105764089401
4481.929004886957,0.3681157095497807
4543.687234842384,0.37179178697465504
4610.815745663499,0.3754678643995294
4677.944256484616,0.37914394182440375
4728.961924708664,0.3821516415356646
4804.145856828313,0.3858277189605389
4876.644648515119,0.38983798524222
4954.513721067613,0.3928456849534808
5032.382793620107,0.39719014009196874
5091.455883142689,0.40019783980322954
5158.584393963806,0.4032055395144904
5225.712904784921,0.4062132392257512
5311.6373986359495,0.4102235055074323
5384.136190322755,0.4132312052186931
5459.320122442405,0.4165730937867607
5526.448633263521,0.4202491712116351
5590.892003651793,0.42292268206608913
5660.705654905752,0.42459362635012293
5733.204446592558,0.4279355149181905
5811.073519145053,0.4312774034862581
5886.257451264702,0.43428510319751895
5948.015681220129,0.43662442519516625
6012.459051608401,0.4392979360496203
6071.5321411309815,0.4419714469040744
6141.345792384943,0.44531333547214197
6221.900005370282,0.4473184686129825
6294.398797057088,0.4503261683242433
6369.582729176737,0.4526654903218907
6423.28553783363,0.4546706234627312
6498.469469953279,0.4573441343171853
6570.968261640085,0.46068602288525284
6648.837334192579,0.4630253448829002
6710.595564148006,0.46469628916693395
6777.724074969124,0.46636723345096776
6831.426883626015,0.46970912201903536
6903.92567531282,0.47138006630306917
6971.054186133936,0.47305101058710297
7035.497556522208,0.475724521441557
7094.57064604479,0.47739546572559083
7167.069437731595,0.4794005988664314
7223.457386821333,0.48073735429365844
7287.900757209604,0.4834108651481125
7368.454970194943,0.4850818094321463
7427.528059717525,0.4880895091434071
7500.02685140433,0.4897604534274409
7559.0999409269125,0.49143139771147465
7631.598732613717,0.4927681531387017
7690.671822136298,0.495107475136349
7779.281456420172,0.49811517484760987
7849.095107674132,0.4994519302748369
7937.704741958006,0.5014570634156774
8015.5738145105,0.5037963854133247
