2 Engine,,3 Engine,,4 Engine,
X,Y,X,Y,X,Y
70.66093384626991,2.951682953311618,70.87214301878254,2.6349981903727855,70.60058836840915,2.2911690191820497
72.39586633476655,2.9931535770297977,72.04887983706722,2.6757148027506332,71.77732518669383,2.3137893593919667
74.13079882326319,3.049704427554591,73.94976238968093,2.7164314151284845,73.2256166553519,2.359030039811799
75.48857207513012,3.087404994571118,75.66960850871239,2.766196163590301,74.4928716904277,2.3861744480636986
76.92177717432301,3.128875618289298,76.75582711020593,2.7978646398841853,75.85064494229465,2.4178429243575845
78.3549822735159,3.1665761853058285,78.38515501244626,2.838581252262035,77.11789997737046,2.4630836047774167
79.63732367805689,3.2118168657256607,79.7429282643132,2.8747737965979017,78.38515501244626,2.5038002171552662
80.9196650825979,3.264597659548798,81.46277438334465,2.915490408975753,80.1050011314777,2.5445168295331175
82.35287018179076,3.298528169863676,83.27313871916724,2.9562070213536025,81.46277438334465,2.571661237785017
83.8615071283096,3.3362287368802033,84.72143018782529,3.0150199058993863,82.73002941842046,2.607853782120884
84.99298483819871,3.3814694173000373,86.26023987327451,3.064784654361201,83.99728445349626,2.6349981903727855
86.35075809006565,3.415399927614912,87.98008599230596,3.1055012667390525,85.44557592215435,2.6847629388346004
87.63309949460663,3.460640608034744,89.51889567775515,3.132645674990954,87.07490382439465,2.720955483170467
89.06630459379952,3.5096513451562306,91.05770536320435,3.1869344914947533,88.4326770762616,2.7616720955483185
90.34864599834052,3.5548920255760645,92.32496039828015,3.22312703583062,90.06200497850193,2.7978646398841853
91.93271479218527,3.6001327059958985,94.0448065173116,3.2638436482084696,91.14822357999549,2.834057184220052
93.29048804405221,3.641603329714078,95.58361620276082,3.313608396670288,92.4154786150713,2.870249728555919
94.7236931432451,3.675533840028953,97.48449875537452,3.349800941006155,93.6827336501471,2.906442272891786
96.08146639511202,3.7207745204487885,98.84227200724146,3.4040897575099542,95.13102511880516,2.9426348172276526
97.36380779965302,3.7660152008686207,100.56211812627294,3.4448063698878038,96.4887983706721,2.9788273615635195
98.7970128988459,3.8112558812884547,102.46300067888663,3.5036192544335876,97.7560534057479,3.010495837857402
100.30564984536471,3.8564965617082887,104.27336501470921,3.5488599348534215,99.47589952477935,3.064784654361201
101.7388549445576,3.909277355531426,105.7216564833673,3.589576547231271,101.01470921022857,3.1055012667390525
103.17206004375049,3.95451803595126,107.26046616881649,3.634817227651105,102.55351889567777,3.146217879116902
104.83156068492119,4.0035287730727465,108.98031228784794,3.6755338400289546,104.1828467979181,3.1869344914947533
106.34019763144002,4.044999396790928,110.79067662367052,3.729822656532754,105.7216564833673,3.227651103872603
107.54710718865505,4.097780190614067,112.32948630911972,3.7795874049945706,107.07942973523421,3.281939920376402
109.13117598249983,4.139250814332247,113.7777777777778,3.8384002895403544,108.5277212038923,3.3226565327542534
110.48894923436677,4.188261551453733,115.49762389680924,3.874592833876221,110.15704910613263,3.3588490770901203
111.84672248623372,4.225962118470262,117.57954288300522,3.9288816503800224,111.69585879158183,3.395041621425987
113.05363204344874,4.2674327421884435,119.66146186920119,3.9831704668838217,113.05363204344874,3.449330437929788
114.56226898996758,4.31644347930993,121.20027155465039,4.032935215345638,114.50192351210683,3.485522982265655
115.84461039450858,4.354144046326457,122.82959945689072,4.078175895765472,115.6786603303915,3.5126673905175547
117.20238364637552,4.399384726746291,124.18737270875764,4.118892508143322,116.9459153654673,3.544335866811437
118.56015689824244,4.448395463867778,125.72618239420683,4.164133188563156,118.122652183752,3.5760043431053212
120.14422569208722,4.497406200989264,127.17447386286491,4.2138979370249725,119.29938900203666,3.6167209554831707
121.65286263860602,4.553957051514054,129.0753564154786,4.268186753528774,120.928716904277,3.666485703944989
123.16149958512486,4.599197731933888,130.5236478841367,4.308903365906623,122.37700837293505,3.7026782482808542
124.5192728369918,4.640668355652069,132.33401221995928,4.363192182410424,123.64426340801086,3.7343467245747384
125.87704608885872,4.678368922668598,134.05385833899072,4.4084328628302565,125.09255487666894,3.775063336952588
127.08395564607378,4.7311497164917355,135.59266802443992,4.458197611292073,126.63136456211814,3.8248280854144046
