Form Factor vs Fineness Ratio,
X,Y
4.079704778572262,1.3894120700661867
4.143636437265941,1.376352594805723
4.251073186508184,1.3634882456677222
4.313710104027567,1.3548350071281707
4.353116924618264,1.3499790896070714
4.533884304904142,1.3268604616434445
4.6049605803763445,1.3185976677829947
4.684188216983466,1.3099766864770697
4.7636318512040114,1.301834268391591
4.842900487358126,1.2934025171564583
4.972507975812691,1.2853755881396265
5.03490762322642,1.2767630808395787
5.126317484088255,1.2688728195638386
5.235625256908828,1.2610020749969761
5.340311108683113,1.2534718312465154
5.453265320299589,1.2458159118426253
5.663825712012944,1.2331805528341981
5.797746788525789,1.225074394029759
5.955829456111528,1.21673435436753
6.094094098813761,1.2097237235001763
6.24077809968979,1.202861487267581
6.403949320797126,1.1956217163561211
6.6900681332642735,1.1840684387210838
6.863808688018116,1.1774378861485888
7.050064372071652,1.170236719316747
7.145290631368374,1.165501350348405
7.312230095598512,1.1608893609905977
7.492595847303837,1.1547262845814994
7.6730434162869745,1.1487370584474714
7.843623934670172,1.143061108776593
8.034328004495636,1.1375167061628702
8.230701060062176,1.1336123652135432
8.395864589919958,1.12683228935892
8.576803062569967,1.121814427085561
8.757806989042228,1.1169286894960755
8.938843642425612,1.1121188851901906
9.114429418872563,1.1075329604465485
9.301129674114692,1.1029135929250202
9.482329962053702,1.0984340266280037
9.66343534195045,1.0938167487825585
9.845272168310837,1.090415949705583
10.03229359673336,1.085857126349588
10.207523836743237,1.0813344962981015
10.339509961253713,1.0784690916417574
