Dry Takeoff,,Hot Take-off,,Max Climb,
X,Y,X,Y,X,Y
-0.002123969,45.31739066341261,0.013016791503305702,46.46416870172773,0.010477911342927526,37.68808356989718
0.006686392,45.10246838392847,0.037159417349614865,45.904892015587244,0.033514583,36.739003964285864
0.011571638526265915,44.82969982,0.046181922952924004,45.238841276478375,0.047829613,36.117427794811405
0.015352944265934199,44.66406628565222,0.061247687,44.54494147166676,0.060201339,35.49260835800399
0.021483176,44.40080698322914,0.084075512,43.69973882273679,0.083037632,34.77211778996555
0.026667246105986753,44.128287130125095,0.10948985943601502,42.79183774143959,0.098321368,34.108776829081144
0.031383118,43.93082829141157,0.12757015328402677,41.97944957094737,0.11724860202588272,33.40445101995718
0.036094969,43.66774133,0.15320072734975637,41.07639044,0.14054186,32.70135480493866
0.042225201,43.40448202932003,0.17667080920204503,40.15108060301203,0.16383296873005404,31.96659478189812
0.049771516,43.103548600739515,0.20521156315136457,39.18254171576385,0.18905318191492992,31.20260313
0.056375116,42.84960729658228,0.23461725367263464,38.233798697549645,0.22349597804146115,30.246226638857824
0.062505922,42.595723440009905,0.260815758,37.601347819452045,0.24931413900662402,29.632849239386715
0.066272186,42.33275137551118,0.2904214990007743,36.56372301328804,0.2732839520865169,29.00151380533992
0.072403566,42.088242964789515,0.3172416859002166,35.86934781732446,0.30194863166293573,28.268309425787805
0.078062153,41.843792001652716,0.34586832268343615,35.19414142,0.33062356972656504,27.686212562847782
0.08419296,41.589908145080344,0.36849180685462213,34.519167571235656,0.3577847074521464,27.067096433103675
0.092214366,41.32641905231779,0.39604186474161096,34.06353049086317,0.37377440369655524,26.625969159239027
0.097873528,41.091343535031704,0.4171528488191665,33.37068997626427,0.4015497919541835,26.150259481489066
0.10447885086005848,40.86552856842658,0.4329696525516853,32.60898197352709,0.43475645002976426,25.536619256664977
0.10966234644283551,40.58363326947183,0.44388070789608314,31.934694279849207,0.46796255074715043,24.914769145637994
0.11768432719401573,40.329519622559985,,,0.5011712524694438,24.331231836891174
0.12381455897544252,40.066260320136905,,,0.5343810689081259,23.764114300550133
0.12900035246161434,39.82186680458498,,,0.5675933005656499,23.232572937754956
0.13701888635770243,39.51150048256889,,,0.6008081332280812,22.739344377239934
0.14504029263303397,39.248011389806344,,,0.6340220369601884,22.232432673053424
0.1511710988903095,38.99412753323397,,,0.6672376746955672,21.75106283705369
0.1610813817561509,38.69290686672911,,,0.7004546129333992,21.28884940219404
0.16815777526037873,38.43890811,,,0.7334195246332634,20.824495015170296
0.17617573468061815,38.11916634712021,,,0.7668927005598655,20.42645278378545
0.18703045584171446,37.79907989374421,,,0.7940716624677978,20.069886860074988
0.19646909403577711,37.516667566525626,,,,
0.2054326407029688,37.196810903489094,,,,
0.2134506001232081,36.87706913562231,,,,
0.223833102,36.56641557568187,,,,
0.23090777221335873,36.28429048638765,,,,
0.24318374662412728,36.010908919510555,,,,
0.24979079335997117,35.81322029045755,,,,
0.25828556773462746,35.55904919596084,,,,
0.26583935066912107,35.379996563439505,,,,
0.2733902612243712,35.15406670166465,,,,
0.28236070160174725,34.94671538883659,,,,
0.2899139100603921,34.75828731046455,,,,
0.29604701422106244,34.54190523729501,,,,
0.3036019461072535,34.38160349647509,,,,
0.3111574524692931,34.23067720150588,,,,
0.3172934290092068,34.06117235758986,,,,
0.32295661192564445,33.89172496125872,,,,
0.3319304991581126,33.74062632,,,,
0.33901148846913015,33.56163113859844,,,,
0.3489309629485507,33.41041760570488,,,,
0.35506579053676696,33.222161870087454,,,,
0.36451017348931675,33.03350400137594,,,,
0.3715940351795775,32.90138604569301,,,,
0.3772583670477126,32.75068954106328,,,,
0.38576175856009937,32.63715013432715,,,,
0.3933166904462903,32.47684839350723,,,,
0.3994549648895988,32.34484533299404,,,,
0.4065388265798598,32.21272737731111,,,,
0.4159866563875016,32.08032218370384,,,,
0.4235421627495413,31.929395888734625,,,,
0.4329882691296369,31.768864357575232,,,,
0.44101714359100147,31.627256060871858,,,,
0.44810502661220336,31.560766226143873,,,,
